ind,Un-LDA-Km Predicted Label,Un-RTLDA Predicted Label,Un-TRLDA Predicted Label,SWULDA Predicted Label,Un-RT(CD)LDA Predicted Label,Un-TR(CD)LDA Predicted Label,Un-RT(A)LDA Predicted Label,Un-TR(A)LDA Predicted Label,Semisupervised-DAPC Predicted Label,Supervised-DAPC Predicted Label
9SRR024,7,9,1,9,9,1,11,0,2,7
9SRR025,7,9,1,9,6,1,11,0,2,7
9SRR026,7,9,1,9,3,1,11,0,2,7
9WLA001,1,4,1,6,5,1,2,0,1,8
9WLA003,4,1,1,13,12,0,6,0,1,8
9WLA004,4,1,1,13,3,0,6,0,1,8
9WRW011,7,9,1,8,0,1,11,0,2,9
9WRW012,9,5,1,2,8,0,8,0,1,9
9WRW013,9,5,1,8,10,0,8,0,1,9
9WRW025,1,4,1,13,9,0,10,0,1,9
9WRW027,1,4,1,13,8,0,10,0,1,9
9WRW028,1,4,1,4,3,0,10,0,1,9
9WRW029,1,4,1,13,5,0,10,0,1,9
9WRW030,1,4,1,6,2,1,2,0,1,9
9WRW031,1,4,1,13,5,0,10,0,1,9
9WRW24,6,3,1,13,5,0,10,0,1,9
9WWC002,1,4,1,6,11,0,2,0,1,10
9WWC003,1,4,1,6,2,1,2,0,1,10
9WWC004,1,4,1,13,4,0,10,0,1,10
9WWC005,1,4,1,6,10,0,2,0,1,10
9WWC006,6,3,1,5,12,0,10,0,1,10
9WWC045,9,5,1,8,6,0,8,0,1,10
9WWC046,9,5,1,12,12,0,8,0,1,10
9WWC048,9,5,1,8,12,0,8,0,1,10
9WWC049,9,5,1,8,6,1,8,0,1,10
9WWC07,6,3,1,2,0,0,10,0,1,10
9WWC08,6,3,1,5,2,0,10,0,1,10
9WYO001,1,4,1,6,8,1,2,0,1,8
9WYO002,4,1,1,12,2,0,6,0,1,8
9WYO003,4,1,1,12,2,0,6,0,1,8
9WYO004,1,4,1,13,1,0,2,0,1,8
9WYO005,4,1,1,2,13,0,6,0,1,8
9YAM001,4,1,1,13,0,0,6,0,1,11
9YAM002,6,3,1,5,9,0,10,0,1,11
9YAM003,6,3,1,5,13,0,10,0,1,11
9YAM004,1,4,1,13,8,0,10,0,1,11
9YAM005,6,3,1,13,3,0,10,0,1,11
9YAM006,6,3,1,13,7,0,10,0,1,11
9YAM007,6,3,1,12,5,0,10,0,1,11
9YAM022,4,1,1,13,10,0,9,0,1,11
9YAM023,4,1,1,13,7,0,6,0,1,11
9YAM024,4,1,1,13,5,0,9,0,1,11
9YAM025,4,1,1,12,7,0,9,0,1,11
9YAM042,4,1,1,13,13,0,9,0,1,11
9YAM043,4,1,1,13,11,0,9,0,1,11
9YAM044,4,1,1,13,10,0,9,0,1,11
9YAM045,1,4,1,6,0,0,2,0,1,11
9YDT003,4,1,1,13,4,0,9,0,1,11
9YDT004,4,1,1,13,12,0,6,0,1,11
